states_name_en;no_danger;yes_danger;percent_danger
Afghanistan;0;2;1.0
Albania;4;0;0.0
Algeria;7;0;0.0
Andorra;1;0;0.0
Angola;1;0;0.0
Antigua and Barbuda;1;0;0.0
Argentina;12;0;0.0
Armenia;3;0;0.0
Australia;21;0;0.0
Austria;10;1;0.09090909090909091
Azerbaijan;5;0;0.0
Bahrain;3;0;0.0
Bangladesh;3;0;0.0
Barbados;1;0;0.0
Belarus;4;0;0.0
Belgium;13;0;0.0
Belize;1;0;0.0
Benin;3;0;0.0
Bolivia (Plurinational State of);5;1;0.16666666666666666
Bosnia and Herzegovina;4;0;0.0
Botswana;2;0;0.0
Brazil;24;0;0.0
Bulgaria;9;0;0.0
Burkina Faso;3;0;0.0
Cabo Verde;1;0;0.0
Cambodia;5;0;0.0
Cameroon;3;0;0.0
Canada;22;0;0.0
Central African Republic;0;1;1.0
Chad;2;0;0.0
Chile;6;0;0.0
China;60;0;0.0
Colombia;8;0;0.0
Congo;1;0;0.0
Costa Rica;4;0;0.0
Croatia;8;0;0.0
Cuba;9;0;0.0
Cyprus;3;0;0.0
Czechia;15;0;0.0
Côte d'Ivoire;4;1;0.2
Democratic People's Republic of Korea;3;0;0.0
Democratic Republic of the Congo;1;4;0.8
Denmark;12;0;0.0
Dominica;1;0;0.0
Dominican Republic;1;0;0.0
Ecuador;4;0;0.0
Egypt;7;0;0.0
El Salvador;1;0;0.0
Eritrea;1;0;0.0
Estonia;1;0;0.0
Ethiopia;12;0;0.0
Fiji;1;0;0.0
Finland;6;0;0.0
France;48;0;0.0
Gabon;2;0;0.0
Gambia;2;0;0.0
Georgia;4;0;0.0
Germany;47;0;0.0
Ghana;2;0;0.0
Greece;20;0;0.0
Guatemala;4;0;0.0
Guinea-Bissau;1;0;0.0
Haiti;1;0;0.0
Holy See;2;0;0.0
Honduras;1;1;0.5
Hungary;7;0;0.0
Iceland;3;0;0.0
India;43;0;0.0
Indonesia;9;1;0.1
Iran (Islamic Republic of);28;0;0.0
Iraq;3;3;0.5
Ireland;2;0;0.0
Israel;9;0;0.0
Italy;56;0;0.0
Jamaica;2;0;0.0
Japan;25;0;0.0
Jerusalem (Site proposed by Jordan);0;1;1.0
Jordan;7;0;0.0
Kazakhstan;5;0;0.0
Kenya;7;1;0.125
Kiribati;1;0;0.0
Kyrgyzstan;1;0;0.0
Lao People's Democratic Republic;4;0;0.0
Latvia;2;0;0.0
Lebanon;5;1;0.16666666666666666
Lesotho;1;0;0.0
Libya;1;4;0.8
Lithuania;4;0;0.0
Luxembourg;1;0;0.0
Madagascar;3;0;0.0
Malawi;3;0;0.0
Malaysia;6;0;0.0
Mali;1;3;0.75
Malta;3;0;0.0
Marshall Islands;1;0;0.0
Mauritania;2;0;0.0
Mauritius;2;0;0.0
Mexico;35;1;0.027777777777777776
Micronesia (Federated States of);0;1;1.0
Mongolia;6;0;0.0
Montenegro;2;0;0.0
Morocco;9;0;0.0
Mozambique;2;0;0.0
Myanmar;2;0;0.0
Namibia;2;0;0.0
Nepal;4;0;0.0
Netherlands (Kingdom of the);10;0;0.0
New Zealand;3;0;0.0
Nicaragua;2;0;0.0
Niger;1;1;0.5
Nigeria;2;0;0.0
Norway;7;0;0.0
Oman;5;0;0.0
Pakistan;6;0;0.0
Palau;1;0;0.0
Panama;3;1;0.25
Papua New Guinea;1;0;0.0
Paraguay;1;0;0.0
Peru;11;1;0.08333333333333333
Philippines;6;0;0.0
Poland;14;0;0.0
Portugal;17;0;0.0
Qatar;1;0;0.0
Republic of Korea;17;0;0.0
Romania;9;1;0.1
Russian Federation;29;0;0.0
Rwanda;2;0;0.0
Saint Kitts and Nevis;1;0;0.0
Saint Lucia;1;0;0.0
San Marino;1;0;0.0
Saudi Arabia;8;0;0.0
Senegal;6;0;0.0
Serbia;3;1;0.25
Seychelles;2;0;0.0
Sierra Leone;1;0;0.0
Singapore;1;0;0.0
Slovakia;5;0;0.0
Slovenia;3;0;0.0
Solomon Islands;0;1;1.0
South Africa;10;0;0.0
Spain;46;0;0.0
Sri Lanka;8;0;0.0
State of Palestine;2;3;0.6
Sudan;3;0;0.0
Suriname;3;0;0.0
Sweden;13;0;0.0
Switzerland;8;0;0.0
Syrian Arab Republic;0;6;1.0
Tajikistan;5;0;0.0
Thailand;8;0;0.0
Tunisia;9;0;0.0
Turkmenistan;3;0;0.0
Türkiye;22;0;0.0
Uganda;3;0;0.0
Ukraine;2;3;0.6
United Arab Emirates;2;0;0.0
United Kingdom of Great Britain and Northern Ireland;32;0;0.0
United Republic of Tanzania;6;1;0.14285714285714285
United States of America;22;1;0.043478260869565216
Uruguay;3;0;0.0
Uzbekistan;3;1;0.25
Vanuatu;1;0;0.0
Venezuela (Bolivarian Republic of);2;1;0.3333333333333333
Viet Nam;8;0;0.0
Yemen;1;4;0.8
Zambia;1;0;0.0
Zimbabwe;4;0;0.0
